company,manager,manager_id,active
长安基金管理有限公司,徐小勇,30046790,yes
长安基金管理有限公司,江博文,30828384,yes
长安基金管理有限公司,王浩聿,30815356,yes
长安基金管理有限公司,林忠晶,30325983,yes
长安基金管理有限公司,肖洁,30758347,yes
广发基金管理有限公司,王海涛,30060120,yes
广发基金管理有限公司,费逸,30546172,yes
广发基金管理有限公司,陈宇庭,30655745,yes
广发基金管理有限公司,丁一凡,30856431,yes
广发基金管理有限公司,段涛,30699742,yes
广发基金管理有限公司,蒋科,30081237,yes
广发基金管理有限公司,王明旭,30600336,yes
广发基金管理有限公司,杨喆,30662511,yes
广发基金管理有限公司,曹建文,30751632,yes
广发基金管理有限公司,倪鑫晨,30797358,yes
广发基金管理有限公司,宋家骥,30780700,yes
广发基金管理有限公司,席玉,30796440,yes
广发基金管理有限公司,王浩,30833708,yes
广发基金管理有限公司,杨大力,30047338,yes
广发基金管理有限公司,杨冬,30055498,yes
广发基金管理有限公司,方抗,30296357,yes
广发基金管理有限公司,曾刚,30045022,yes
广发基金管理有限公司,胡光耀,30773823,yes
广发基金管理有限公司,杨定光,30069144,yes
广发基金管理有限公司,陈韫中,30745208,yes
